crop_name,adm_id,sos,eos
wheat,NL11,44.70225143432617,216.4525451660156
wheat,NL12,44.68450546264648,212.90293884277344
wheat,NL13,44.1351318359375,217.091064453125
wheat,NL21,44.279029846191406,216.7961578369141
wheat,NL22,43.84559631347656,216.71194458007807
wheat,NL23,45.07087707519531,210.52687072753903
wheat,NL31,44.876556396484375,215.97821044921875
wheat,NL32,44.24614715576172,210.16653442382807
wheat,NL33,44.058719635009766,211.86415100097656
wheat,NL34,42.84974670410156,209.8341064453125
wheat,NL41,43.576690673828125,214.1855926513672
wheat,NL42,42.083763122558594,216.2523193359375
